Web_page,Time_Stamp
"https://www.google.com/search?client=firefox-b-d&ei=Jt95XqixN4CQ4-EPgqOTkA8&q=malayalam+movies+2020","2020-03-24 15:51:36"
"https://www.google.com/search?client=firefox-b-d&q=malayalam+movies+20202","2020-03-24 15:51:25"
"https://securesearch.org/?pId=BT170902&iDate=2020-03-22%2010.27.52&bName=&sp=2&q=malayalam+movies+2020","2020-03-24 15:50:21"
"http://securedsearch.lavasoft.com/results.php?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200324__yrff&q=malayalam%20movies%202020","2020-03-24 15:50:21"
"https://lavasoft.gosearchresults.com/?q=malayalam+movies+2020&tt=vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200324__yrff__yrff&pid=5ac784309091147a162b4431","2020-03-24 15:50:21"
"http://www.google.com/","2020-03-24 15:37:37"
"https://www.google.com/","2020-03-24 15:37:37"
"https://lavasoft.gosearchresults.com/?sbtn=&q=google&tt=VM__GS__S4LAVA__vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200324__yrff__yrff&pid=5ac784309091147a162b4431&sr=0","2020-03-24 15:37:33"
"https://lavasoft.gosearchresults.com/?sbtn=&q=malayalam+movies+2019&tt=VM__GS__S4LAVA__vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200324__yrff__yrff&pid=5ac784309091147a162b4431&sr=0","2020-03-24 15:37:05"
"https://securesearch.org/?pId=BT170902&iDate=2020-03-22%2010.27.52&bName=&sp=2&q=malayalam+movies+20219","2020-03-24 15:36:58"
"http://securedsearch.lavasoft.com/results.php?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200324__yrff&q=malayalam%20movies%2020219","2020-03-24 15:36:58"
"https://lavasoft.gosearchresults.com/?q=malayalam+movies+20219&tt=vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200324__yrff__yrff&pid=5ac784309091147a162b4431","2020-03-24 15:36:58"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-24 15:36:29"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200324__yrff","2020-03-24 15:36:29"
"https://www.mozilla.org/en-US/firefox/74.0/whatsnew/?oldversion=73.0.1","2020-03-24 15:36:26"
"https://www.mozilla.org/firefox/74.0/whatsnew/india/?oldversion=73.0.1","2020-03-24 15:36:26"
"https://www.mozilla.org/en-US/firefox/74.0/whatsnew/india/?oldversion=73.0.1","2020-03-24 15:36:26"
"https://zoom.us/client/latest/ZoomInstaller.exe","2020-03-13 14:21:07"
"https://zoom.us/download","2020-03-13 14:17:14"
"https://zoom.us/","2020-03-13 14:16:52"
"http://192.168.0.1/","2020-03-13 14:15:46"
"https://www.google.com/search?client=firefox-b-d&q=zoom","2020-03-13 14:14:51"
"https://www.mozilla.org/firefox/73.0.1/whatsnew/india/?oldversion=72.0.2","2020-03-04 12:50:42"
"https://www.mozilla.org/en-US/firefox/73.0.1/whatsnew/india/?oldversion=72.0.2","2020-03-04 12:50:42"
"https://www.mozilla.org/en-US/firefox/73.0.1/whatsnew/?oldversion=72.0.2","2020-03-04 12:50:41"
"https://web.whatsapp.com/","2020-02-26 00:04:02"
"http://web.whatsapp.com/","2020-02-26 00:04:00"
"https://www.mozilla.org/en-US/firefox/welcome/2/","2020-02-26 00:03:41"
"https://www.mozilla.org/firefox/welcome/2/","2020-02-26 00:03:40"
"https://www.cs.bu.edu/courses/cs108/guides/runpython.html","2020-02-25 00:22:39"
"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjc1or87ernAhXbyzgGHe6EDscQFjABegQIChAE&url=https%3A%2F%2Fwww.cs.bu.edu%2Fcourses%2Fcs108%2Fguides%2Frunpython.html&usg=AOvVaw3tOpsAJze6jD5-P4AQJ2Jc","2020-02-25 00:22:37"
"https://en.wikibooks.org/wiki/Python_Programming/Creating_Python_Programs","2020-02-25 00:21:54"
"https://www.google.com/search?client=firefox-b-d&q=how+to+run+python+script+in+python+terminal","2020-02-25 00:21:49"
"https://www.python.org/downloads/release/python-2717/","2020-02-24 21:48:21"
"https://www.python.org/downloads/release/python-2717/","2020-02-24 21:48:03"
"https://www.python.org/downloads/","2020-02-24 21:46:57"
"https://www.python.org/download/releases/2.7/","2020-02-24 21:45:46"
"https://www.google.com/search?client=firefox-b-d&q=python+2.7+download","2020-02-24 21:45:34"
"https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fclient%3Dfirefox-b-d%26q%3Dinstall%2Bgit%2Bfor%2Bwindows%2B10&q=EgR15oawGM-W5vEFIhkA8aeDS_Xh8wbe-pW5_D9bluSfCnuXio8eMgFy","2020-02-05 20:48:32"
"https://www.google.com/search?client=firefox-b-d&q=install+git+for+windows+10","2020-02-05 20:48:31"
"https://www.mozilla.org/en-US/firefox/72.0.2/whatsnew/?oldversion=66.0.1","2020-01-29 00:01:40"
"https://www.mozilla.org/firefox/72.0.2/whatsnew/india/?oldversion=66.0.1","2020-01-29 00:01:40"
"https://www.mozilla.org/en-US/firefox/72.0.2/whatsnew/india/?oldversion=66.0.1","2020-01-29 00:01:40"
